PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,108,1,22.0,1,0,523,7.25,147,2
2,1,1,190,0,38.0,1,0,596,71.2833,81,0
3,1,3,353,0,26.0,0,0,669,7.925,147,2
4,1,1,272,0,35.0,1,0,49,53.1,55,2
5,0,3,15,1,35.0,0,0,472,8.05,147,2
6,0,3,554,1,,0,0,275,8.4583,147,1
7,0,1,515,1,54.0,0,0,85,51.8625,129,2
8,0,3,624,1,2.0,3,1,395,21.075,147,2
9,1,3,412,0,27.0,0,2,344,11.1333,147,2
10,1,2,576,0,14.0,1,0,132,30.0708,147,0
11,1,3,727,0,4.0,1,1,616,16.7,145,2
12,1,1,95,0,58.0,0,0,38,26.55,49,2
13,0,3,729,1,20.0,0,0,535,8.05,147,2
14,0,3,28,1,39.0,1,5,333,31.275,147,2
15,0,3,840,0,14.0,0,0,413,7.8542,147,2
16,1,2,359,0,55.0,0,0,153,16.0,147,2
17,0,3,682,1,2.0,4,1,480,29.125,147,1
18,1,2,867,1,,0,0,151,13.0,147,2
19,0,3,839,0,31.0,1,0,301,18.0,147,2
20,1,3,512,0,,0,0,184,7.225,147,0
21,0,2,273,1,35.0,0,0,139,26.0,147,2
22,1,2,80,1,34.0,0,0,152,13.0,111,2
23,1,3,523,0,15.0,0,0,278,8.0292,147,1
24,1,1,765,1,28.0,0,0,42,35.5,13,2
25,0,3,626,0,8.0,3,1,395,21.075,147,2
26,1,3,44,0,38.0,1,5,329,31.3875,147,2
27,0,3,240,1,,0,0,179,7.225,147,0
28,0,1,260,1,19.0,3,2,95,263.0,63,2
29,1,3,605,0,,0,0,283,7.8792,147,1
30,0,3,813,1,,0,0,362,7.8958,147,2
31,0,1,828,1,40.0,0,0,598,27.7208,147,0
32,1,1,776,0,,1,0,586,146.5208,41,0
33,1,3,289,0,,0,0,288,7.75,147,1
34,0,2,856,1,66.0,0,0,549,10.5,147,2
35,0,1,535,1,28.0,1,0,600,82.1708,147,0
36,0,1,372,1,42.0,1,0,43,52.0,147,2
37,1,3,505,1,,0,0,202,7.2292,147,0
38,0,3,134,1,21.0,0,0,514,8.05,147,2
39,0,3,837,0,18.0,2,0,302,18.0,147,2
40,1,3,589,0,14.0,1,0,186,11.2417,147,0
41,0,3,7,0,40.0,1,0,507,9.475,147,2
42,0,2,827,0,27.0,1,0,53,21.0,147,2
43,0,3,446,1,,0,0,391,7.8958,147,0
44,1,2,456,0,3.0,1,2,634,41.5792,147,0
45,1,3,212,0,19.0,0,0,282,7.8792,147,1
46,0,3,697,1,,0,0,617,8.05,147,2
47,0,3,473,1,,1,0,462,15.5,147,1
48,1,3,604,0,,0,0,76,7.75,147,1
49,0,3,726,1,,2,0,190,21.6792,147,0
50,0,3,38,0,18.0,1,0,377,17.8,147,2
51,0,3,629,1,7.0,4,1,249,39.6875,147,2
52,0,3,594,1,21.0,0,0,522,7.8,147,2
53,1,1,333,0,49.0,1,0,587,76.7292,101,0
54,1,2,246,0,29.0,1,0,239,26.0,147,2
